player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
Novak Djokovic,7.0,3760.0,0.8702702702702703,0.8,0.8913043478260869,6.1894409937888195,0.6257919702152344,0.4981650123097251,0.8532878405212719,2,0.175,0.239,0.308,0.406
Jannik Sinner,1.0,13500.0,0.7877551020408163,1.0,0.7727272727272727,6.476683937823834,0.7176828265928612,0.49763189349724263,0.8736136024238003,1,0.13,0.195,0.254,0.35
Carlos Alcaraz,2.0,9960.0,0.7482014388489209,0.6,0.85,4.240384615384615,0.6629453063276592,0.47251654183721115,0.7889612473960642,4,0.102,0.165,0.225,0.322
Daniil Medvedev,8.0,3760.0,0.7418546365914787,0.5,0.825,8.554054054054054,0.6622966758166892,0.5023743816168352,0.7509117789486798,5,0.091,0.135,0.187,0.283
Alexander Zverev,3.0,7305.0,0.690176322418136,0.8,0.7428571428571429,9.68978102189781,0.6923837165720282,0.5029273405723937,0.7990137954415077,3,0.064,0.098,0.143,0.237
Alex De Minaur,6.0,3905.0,0.6430976430976431,0.3,0.6923076923076923,4.549738219895288,0.6410951243755236,0.5157329777979609,0.6706509461071916,13,0.039,0.076,0.112,0.206
Andrey Rublev,13.0,2460.0,0.6424731182795699,0.3,0.7272727272727273,8.00418410041841,0.7036171899379446,0.48839541702024813,0.6609633623157978,14,0.029,0.062,0.104,0.18
Felix Auger Aliassime,4.0,4440.0,0.6008403361344538,0.5,0.5625,10.454545454545455,0.6735779665401515,0.43602438513997543,0.6829785874443913,10,0.027,0.046,0.074,0.129
Joao Fonseca,25.0,1735.0,0.614,0.6,0.5,6.0,0.665,0.38,0.6440570866141732,18,0.022,0.045,0.061,0.137
Taylor Fritz,9.0,3720.0,0.6042296072507553,0.6,0.64,10.085,0.704310931161844,0.4828342437342723,0.707517022762219,8,0.02,0.056,0.078,0.15
Tommy Paul,28.0,1645.0,0.5990566037735849,0.6,0.5333333333333333,5.929133858267717,0.645386815740798,0.47112132526036377,0.6418100304343991,19,0.015,0.045,0.064,0.121
Ben Shelton,5.0,3920.0,0.6067415730337079,0.6,0.7,9.87037037037037,0.7070008116883116,0.4808396336174114,0.7266285966260754,6,0.015,0.043,0.066,0.128
Jiri Lehecka,12.0,2575.0,0.5533980582524272,0.6,0.4,6.982456140350878,0.6748454899398295,0.4523962879226037,0.6487273514877246,16,0.014,0.028,0.044,0.09
Karen Khachanov,15.0,2320.0,0.580952380952381,0.8,0.5263157894736842,8.73224043715847,0.6830792689803349,0.486682097309286,0.7096026658318967,7,0.014,0.036,0.054,0.108
Jenson Brooksby,73.0,825.0,0.6166666666666667,0.5,0.6,3.7567567567567566,0.7007448433919022,0.49992346834452095,0.5341213420960075,43,0.014,0.027,0.043,0.101
Stefanos Tsitsipas,84.0,740.0,0.65,0.6,0.46153846153846156,7.860576923076923,0.6911453511931981,0.46522219926867664,0.5134861546278788,50,0.014,0.038,0.059,0.105
Jakub Mensik,17.0,2300.0,0.677,0.65,0.5,7.2,0.64,0.41,0.6889547244094487,9,0.013,0.029,0.045,0.113
Jakub Mensik,17.0,2300.0,0.6060606060606061,0.5,0.6666666666666666,11.6,0.6964101430045703,0.45673718094770727,0.6713772421222143,12,0.013,0.029,0.045,0.113
Sebastian Korda,60.0,900.0,0.6258992805755396,0.7,0.2857142857142857,8.03448275862069,0.6947027963063096,0.508663721899016,0.5601302101711365,35,0.012,0.03,0.048,0.095
Alex Michelsen,38.0,1205.0,0.5370370370370371,0.7,0.5,5.620689655172414,0.665222329111218,0.5102726775140568,0.6206324347873734,21,0.012,0.02,0.028,0.066
Holger Rune,64.0,860.0,0.6323529411764706,0.7,0.3333333333333333,6.337209302325581,0.7095935220935221,0.4915216809334456,0.5593250978076708,37,0.011,0.027,0.043,0.098
Casper Ruud,14.0,2425.0,0.5591397849462365,0.3,0.65,6.740384615384615,0.6699234892634346,0.5052177513777455,0.6253333468512953,20,0.01,0.023,0.042,0.094
Arthur Fils,21.0,1940.0,0.5846153846153846,0.6,0.5,7.473684210526316,0.6644607843137255,0.4415797268290343,0.6492117772227951,15,0.01,0.025,0.041,0.094
Denis Shapovalov,42.0,1130.0,0.5645756457564576,0.7,0.6818181818181818,9.196078431372548,0.6882890346407092,0.49152314544243764,0.6455568540152117,17,0.01,0.016,0.027,0.065
Flavio Cobolli,10.0,3540.0,0.5454545454545454,0.5,0.6666666666666666,6.708333333333333,0.7049964528225398,0.5129254426129426,0.6759998886157255,11,0.009,0.023,0.035,0.078
Alexander Bublik,11.0,2930.0,0.49746192893401014,0.2,0.4,13.857142857142858,0.6817970917970918,0.4955435437578295,0.5596104667671541,36,0.008,0.015,0.025,0.065
Marin Cilic,47.0,994.0,0.5993265993265994,0.5,0.7241379310344828,11.724719101123595,0.66924633151485,0.457382552725545,0.6061223663760074,27,0.008,0.023,0.041,0.093
