player,hard_wins,hard_losses,hard_total,hard_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,avg_1st_pct,recent_form_pct,uso_wins,uso_win_pct,atp_rank,atp_points,rank_score,uso_score,power_rank
Jannik Sinner,193.0,52.0,245.0,0.7877551020408163,6.476683937823834,1.8704663212435233,0.49763189349724263,0.7176828265928612,0.6060890265564048,1.0,17.0,0.7727272727272727,1.0,13500.0,1.0,0.8736136024238003,1
Novak Djokovic,322.0,48.0,370.0,0.8702702702702703,6.1894409937888195,2.4037267080745344,0.4981650123097251,0.6257919702152344,0.6470528211701884,0.8,41.0,0.8913043478260869,7.0,3760.0,0.952755905511811,0.8532878405212719,2
Alexander Zverev,274.0,123.0,397.0,0.690176322418136,9.68978102189781,3.1350364963503647,0.5029273405723937,0.6923837165720282,0.6716105266746872,0.8,26.0,0.7428571428571429,3.0,7305.0,0.984251968503937,0.7990137954415077,3
Carlos Alcaraz,104.0,35.0,139.0,0.7482014388489209,4.240384615384615,1.8653846153846154,0.47251654183721115,0.6629453063276592,0.6518380557838791,0.6,17.0,0.85,2.0,9960.0,0.9921259842519685,0.7889612473960642,4
Daniil Medvedev,296.0,103.0,399.0,0.7418546365914787,8.554054054054054,3.402027027027027,0.5023743816168352,0.6622966758166892,0.6258130435781304,0.5,33.0,0.825,8.0,3760.0,0.9448818897637795,0.7509117789486798,5
Ben Shelton,54.0,35.0,89.0,0.6067415730337079,9.87037037037037,3.3333333333333335,0.4808396336174114,0.7070008116883116,0.6812975636095694,0.6,7.0,0.7,5.0,3920.0,0.9685039370078741,0.7266285966260754,6
Karen Khachanov,183.0,132.0,315.0,0.580952380952381,8.73224043715847,2.098360655737705,0.486682097309286,0.6830792689803349,0.6399948702357507,0.8,10.0,0.5263157894736842,15.0,2320.0,0.889763779527559,0.7096026658318967,7
Taylor Fritz,200.0,131.0,331.0,0.6042296072507553,10.085,2.405,0.4828342437342723,0.704310931161844,0.6041310866801184,0.6,16.0,0.64,9.0,3720.0,0.937007874015748,0.707517022762219,8
Jakub Mensik,21.0,10.0,31.0,0.677,7.2,0.2,0.41,0.64,,0.65,0.0,0.5,17.0,2300.0,0.8740157480314961,0.6889547244094487,9
Felix Auger Aliassime,143.0,95.0,238.0,0.6008403361344538,10.454545454545455,3.6433566433566433,0.43602438513997543,0.6735779665401515,0.63992734877909,0.5,9.0,0.5625,4.0,4440.0,0.9763779527559056,0.6829785874443913,10
Flavio Cobolli,24.0,20.0,44.0,0.5454545454545454,6.708333333333333,3.8333333333333335,0.5129254426129426,0.7049964528225398,0.5525776791403073,0.5,2.0,0.6666666666666666,10.0,3540.0,0.9291338582677166,0.6759998886157255,11
Jakub Mensik,20.0,13.0,33.0,0.6060606060606061,11.6,2.9,0.45673718094770727,0.6964101430045703,0.60099554631567,0.5,4.0,0.6666666666666666,17.0,2300.0,0.8740157480314961,0.6713772421222143,12
Alex De Minaur,191.0,106.0,297.0,0.6430976430976431,4.549738219895288,2.2931937172774868,0.5157329777979609,0.6410951243755236,0.5950059092709448,0.3,18.0,0.6923076923076923,6.0,3905.0,0.9606299212598425,0.6706509461071916,13
Andrey Rublev,239.0,133.0,372.0,0.6424731182795699,8.00418410041841,2.3263598326359833,0.48839541702024813,0.7036171899379446,0.6122588311299676,0.3,24.0,0.7272727272727273,13.0,2460.0,0.905511811023622,0.6609633623157978,14
Arthur Fils,38.0,27.0,65.0,0.5846153846153846,7.473684210526316,2.736842105263158,0.4415797268290343,0.6644607843137255,0.6189409429100635,0.6,2.0,0.5,21.0,1940.0,0.8425196850393701,0.6492117772227951,15
Jiri Lehecka,57.0,46.0,103.0,0.5533980582524272,6.982456140350878,2.263157894736842,0.4523962879226037,0.6748454899398295,0.6386756708597552,0.6,2.0,0.4,12.0,2575.0,0.9133858267716536,0.6487273514877246,16
Denis Shapovalov,153.0,118.0,271.0,0.5645756457564576,9.196078431372548,5.052287581699346,0.49152314544243764,0.6882890346407092,0.6065137791150426,0.7,15.0,0.6818181818181818,42.0,1130.0,0.6771653543307087,0.6455568540152117,17
Joao Fonseca,27.0,17.0,44.0,0.614,6.0,0.17,0.38,0.665,,0.6,1.0,0.5,25.0,1735.0,0.8110236220472441,0.6440570866141732,18
Tommy Paul,127.0,85.0,212.0,0.5990566037735849,5.929133858267717,2.0078740157480315,0.47112132526036377,0.645386815740798,0.614701951069335,0.6,8.0,0.5333333333333333,28.0,1645.0,0.7874015748031495,0.6418100304343991,19
Casper Ruud,104.0,82.0,186.0,0.5591397849462365,6.740384615384615,1.8942307692307692,0.5052177513777455,0.6699234892634346,0.6517391595084584,0.3,13.0,0.65,14.0,2425.0,0.8976377952755905,0.6253333468512953,20
Alex Michelsen,29.0,25.0,54.0,0.5370370370370371,5.620689655172414,1.9310344827586208,0.5102726775140568,0.665222329111218,0.6771011839403113,0.7,2.0,0.5,38.0,1205.0,0.7086614173228347,0.6206324347873734,21
Cameron Norrie,126.0,99.0,225.0,0.56,5.642857142857143,2.6031746031746033,0.5017893376108119,0.6835834258659799,0.6674612416130465,0.5,9.0,0.5625,29.0,1595.0,0.7795275590551181,0.6175019058903749,22
