tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,data_year,tourney_year,tourney_month,rank_diff,is_upset,w_1st_pct,l_1st_pct,w_bp_conv,w_bp_save
2015-560,US Open,Hard,G,2015-08-31,1,104925,Novak Djokovic,R,188.0,SRB,28.2,1.0,14865.0,105154,Joao Souza,R,193.0,BRA,27.2,91.0,554.0,6-1 6-1 6-1,5,R128,156.0,8.0,0.0,52.0,39.0,36.0,8.0,11.0,0.0,0.0,3.0,2.0,57.0,31.0,17.0,7.0,10.0,3.0,10.0,2015,2015,8,90.0,0,0.75,0.543859649122807,0.7,
2015-560,US Open,Hard,G,2015-08-31,2,104890,Andreas Haider Maurer,R,190.0,AUT,28.4,52.0,870.0,105577,Vasek Pospisil,R,193.0,CAN,25.1,45.0,1000.0,6-4 3-6 6-7(0) 6-0 6-1,5,R128,156.0,12.0,10.0,120.0,61.0,50.0,35.0,20.0,3.0,4.0,24.0,16.0,186.0,110.0,79.0,28.0,22.0,19.0,25.0,2015,2015,8,-7.0,1,0.5083333333333333,0.5913978494623656,0.24,0.75
2015-560,US Open,Hard,G,2015-08-31,3,104559,Teymuraz Gabashvili,R,185.0,RUS,30.2,53.0,867.0,104665,Pablo Andujar,R,180.0,ESP,29.6,49.0,945.0,7-6(6) 0-6 4-6 6-4 RET,5,R128,156.0,7.0,5.0,129.0,70.0,46.0,31.0,20.0,11.0,16.0,12.0,10.0,149.0,80.0,54.0,26.0,19.0,7.0,15.0,2015,2015,8,-4.0,1,0.5426356589147286,0.5369127516778524,0.5333333333333333,0.6875
2015-560,US Open,Hard,G,2015-08-31,4,104312,Andreas Seppi,R,190.0,ITA,31.5,25.0,1430.0,126205,Tommy Paul,R,185.0,USA,18.2,437.0,93.0,6-4 6-0 7-5,5,R128,156.0,6.0,6.0,83.0,42.0,31.0,22.0,14.0,4.0,7.0,0.0,2.0,88.0,53.0,29.0,12.0,14.0,5.0,13.0,2015,2015,8,412.0,0,0.5060240963855421,0.6022727272727273,0.6153846153846154,0.5714285714285714
2015-560,US Open,Hard,G,2015-08-31,5,105138,Roberto Bautista Agut,R,183.0,ESP,27.3,23.0,1510.0,105732,Pierre Hugues Herbert,R,188.0,FRA,24.4,92.0,551.0,6-3 6-2 7-6(7),5,R128,156.0,4.0,5.0,104.0,59.0,44.0,32.0,15.0,5.0,5.0,17.0,3.0,103.0,54.0,39.0,23.0,14.0,2.0,5.0,2015,2015,8,69.0,0,0.5673076923076923,0.5242718446601942,0.6,1.0
2015-560,US Open,Hard,G,2015-08-31,6,105807,Pablo Carreno Busta,R,188.0,ESP,24.1,54.0,855.0,105668,Jerzy Janowicz,R,203.0,POL,24.7,61.0,790.0,6-3 4-6 6-2 6-4,5,R128,156.0,9.0,0.0,113.0,67.0,48.0,31.0,19.0,7.0,9.0,16.0,1.0,113.0,72.0,49.0,20.0,18.0,3.0,8.0,2015,2015,8,7.0,0,0.5929203539823009,0.6371681415929203,0.625,0.7777777777777778
2015-560,US Open,Hard,G,2015-08-31,7,105575,Ricardas Berankis,R,175.0,LTU,25.1,78.0,661.0,105311,Joao Sousa,R,185.0,POR,26.4,46.0,986.0,6-2 6-2 4-6 2-6 7-6(4),5,R128,156.0,8.0,7.0,151.0,75.0,55.0,41.0,23.0,9.0,13.0,6.0,6.0,165.0,101.0,69.0,29.0,23.0,15.0,20.0,2015,2015,8,-32.0,1,0.4966887417218543,0.6121212121212121,0.25,0.6923076923076923
2015-560,US Open,Hard,G,2015-08-31,8,105676,David Goffin,R,180.0,BEL,24.7,15.0,2130.0,104620,Simone Bolelli,R,183.0,ITA,29.8,62.0,785.0,6-4 6-1 6-2,5,R128,156.0,13.0,2.0,62.0,33.0,29.0,21.0,12.0,3.0,3.0,7.0,6.0,78.0,48.0,28.0,12.0,13.0,3.0,9.0,2015,2015,8,47.0,0,0.532258064516129,0.6153846153846154,0.6666666666666666,1.0
2015-560,US Open,Hard,G,2015-08-31,9,105683,Milos Raonic,R,196.0,CAN,24.6,10.0,2880.0,105065,Tim Smyczek,R,175.0,USA,27.6,99.0,535.0,6-4 7-6(8) 6-1,5,R128,156.0,17.0,6.0,96.0,47.0,39.0,32.0,15.0,6.0,6.0,6.0,3.0,102.0,67.0,43.0,17.0,14.0,3.0,6.0,2015,2015,8,89.0,0,0.4895833333333333,0.6568627450980392,0.5,1.0
2015-560,US Open,Hard,G,2015-08-31,10,104269,Fernando Verdasco,L,188.0,ESP,31.7,42.0,1020.0,103163,Tommy Haas,R,188.0,GER,37.4,506.0,73.0,3-6 6-1 6-7(3) 6-3 6-1,5,R128,156.0,21.0,7.0,122.0,71.0,57.0,30.0,22.0,4.0,7.0,1.0,9.0,128.0,81.0,51.0,25.0,22.0,5.0,13.0,2015,2015,8,464.0,0,0.5819672131147541,0.6328125,0.6153846153846154,0.5714285714285714
